Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,26427199,27385307,28189672,29249157,30466479,31541209,32716210,36686784,37769499,38972230,40099462,41128771,42239854
"Population, total",SP.POP.TOTL,Albania,ALB,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2866376,2854191,2837849,2811666,2777689,2745972
"Population, total",SP.POP.TOTL,Algeria,DZA,34569592,35196037,35856344,36543541,37260563,38000626,38760168,41927007,42705368,43451666,44177969,44903225,45606480
"Population, total",SP.POP.TOTL,American Samoa,ASM,55891,55366,54849,54310,53691,52995,52217,48424,47321,46189,45035,44273,43914
"Population, total",SP.POP.TOTL,Andorra,AND,76055,73852,71519,70567,71013,71367,71621,75013,76343,77700,79034,79824,80088
"Population, total",SP.POP.TOTL,Angola,AGO,21691522,22507674,23364185,24259111,25188292,26147002,27128337,31273533,32353588,33428486,34503774,35588987,36684202
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,83251,84534,85695,86729,87674,88497,89236,91626,92117,92664,93219,93763,94298
"Population, total",SP.POP.TOTL,Argentina,ARG,40273769,40684338,40788453,41261490,41733271,42202935,42669500,44494502,44938712,45376763,45808747,46234830,46654581
"Population, total",SP.POP.TOTL,Armenia,ARM,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2836557,2820602,2805608,2790974,2780469,2777970
"Population, total",SP.POP.TOTL,Aruba,ABW,97996,99212,100341,101288,102112,102880,103594,105962,106442,106585,106537,106445,106277
"Population, total",SP.POP.TOTL,Australia,AUS,21249199,21691653,22031750,22340024,22733465,23128129,23475686,24963258,25334826,25649248,25685412,26014399,26638544
"Population, total",SP.POP.TOTL,Austria,AUT,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8840521,8879920,8916864,8955797,9041851,9132383
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9939771,10024283,10093121,10137750,10141756,10112555
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,362795,368057,373272,377950,382061,385650,389131,401906,404557,406471,407906,409984,412623
"Population, total",SP.POP.TOTL,Bahrain,BHR,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1487340,1494188,1477469,1463265,1472233,1485509
"Population, total",SP.POP.TOTL,Bangladesh,BGD,145421318,146706810,148391139,150211005,152090649,154030139,155961299,163683958,165516222,167420951,169356251,171186372,172954319
"Population, total",SP.POP.TOTL,Barbados,BRB,272635,273791,274711,275486,276197,276865,277493,279688,280180,280693,281200,281635,281995
"Population, total",SP.POP.TOTL,Belarus,BLR,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9438785,9419758,9379952,9302585,9228071,9178298
"Population, total",SP.POP.TOTL,Belgium,BEL,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11427054,11488980,11538604,11586195,11685814,11822592
"Population, total",SP.POP.TOTL,Belize,BLZ,305671,314171,322106,329538,337059,344688,352335,382066,389095,394921,400031,405272,410825
"Population, total",SP.POP.TOTL,Benin,BEN,8906469,9172514,9445710,9726380,10014078,10308730,10614844,11940683,12290444,12643123,12996895,13352864,13712828
"Population, total",SP.POP.TOTL,Bermuda,BMU,65273,65636,65124,64564,64798,65001,65138,63918,63911,63893,63764,63595,63489
