Series Name,Series Code,Country Name,Country Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,Ukraine,UKR,46258189,46053331,45870741,45706086,45593342,45489648,45272155,44690584,44474512,44207754,43848986,38000000,37000000
Population growth (annual %),SP.POP.GROW,Ukraine,UKR,-0.541496740974727,-0.443841324029999,-0.397263167656909,-0.359600092788762,-0.246976481186878,-0.227691350050529,-0.479262000344597,-0.424631989450114,-0.484656962511515,-0.601605747337822,-0.814860929840815,-14.3165434537093,-2.66682470821613
Surface area (sq. km),AG.SRF.TOTL.K2,Ukraine,UKR,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,..,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Ukraine,UKR,..,..,..,..,..,..,..,..,..,1.6,..,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Ukraine,UKR,148280805435.413,130978029636.458,139032015590.198,143754542802.389,166415700343.481,179848215763.211,153130777843.418,116377495903.847,139084746178.16,149174086879.664,169966929106.213,151667901107.83,174919025720.324
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Ukraine,UKR,3210,2840,3030,3150,3650,3950,3560,2750,3310,3570,4110,4280,5070
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Ukraine,UKR,413855748777.054,351982871965.833,378104057626.56,401845866680.09,436604653738.995,495612646110.555,453348694759.919,542425697722.942,611906063612.544,670442390848.845,724798384656.187,599042781039.902,640411381848.87
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Ukraine,UKR,8950,7640,8240,8790,9580,10900,10540,12830,14560,16060,17520,16920,18560
Income share held by lowest 20%,SI.DST.FRST.20,Ukraine,UKR,9.6,10,10.2,10.2,10.2,10.3,10.5,9.9,9.7,10,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,68.2514634146342,69.19,70.2653658536586,70.8092682926829,70.9441463414634,71.159512195122,71.1865853658537,71.5826829268293,71.8273170731707,71.1851219512195,69.6478048780488,68.5879268292683,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ukraine,UKR,1.458,1.473,1.443,1.459,1.531,1.506,1.498,1.301,1.228,1.217,1.16,1.265,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Ukraine,UKR,32.961,32.642,30.23,29.72,29.609,28.337,28.32,19.558,16.547,15.323,15.642,15.175,..
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,Ukraine,UKR,..,..,..,..,65.5,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ukraine,UKR,99.9,99.9,99.9,99.9,99,99.9,99.9,..,..,..,..,..,..
"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Ukraine,UKR,12.9,12.3,11.7,11.2,10.6,10.2,9.8,8.7,8.5,8.4,8.2,8.5,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Ukraine,UKR,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Ukraine,UKR,94,75,56,67,79,79,56,91,93,85,88,74,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Ukraine,UKR,101.218246459961,100.128837585449,100.017593383789,101.307739257812,97.3090515136719,98.6247634887695,96.2149429321289,83.9088592529297,89.0533981323242,89.7577972412109,89.2898788452148,..,..
"School enrollment, secondary (% gross)",SE.SEC.ENRR,Ukraine,UKR,97.740348815918,97.3778762817383,98.1416778564453,96.1171798706055,99.4775466918945,99.4303817749023,98.2963180541992,85.8331909179688,84.4568328857422,84.4283294677734,84.6516265869141,..,..
"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Ukraine,UKR,0.988420009613037,0.986310005187988,0.985599994659424,0.98496001958847,0.991639971733093,0.987689971923828,0.995869994163513,..,..,..,..,..,..
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Ukraine,UKR,..,..,..,..,..,..,..,..,..,..,..,..,..
Forest area (sq. km),AG.LND.FRST.K2,Ukraine,UKR,95404,95442,95480,95698,95916,96134,96352,96780,96840,96900,96960,..,..
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,Ukraine,UKR,8.04624373561231,6.85005858851673,7.15120219191892,8.07790854327599,8.7109050401391,9.43903978997513,9.25690758955392,9.22779409099902,9.6210002630069,10.3730157223102,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ukraine,UKR,2910.66159118335,2487.03460776811,2886.99199343651,2768.92497423647,2687.05603989284,2553.11382053341,2334.3964739474,..,..,..,..,..,..
